"Timestamp","Bu formu hangi dilde doldurmak istersiniz?
Which language would you like to complete this form in?","1- Please select the name of your department or major. (If you have a double major, please select your main department.)","2-Are you currently enrolled in a double major or minor program?","3- What is your current year of study?","4- Please indicate your age group.","5- Which of the following best describes your gender identity?","6- Please indicate your current cumulative GPA (on a 4.00 scale).","7- Are you currently employed, interning, or working freelance?","8-I believe my university education adequately prepares me for employment. (1 = Strongly disagree → 5 = Strongly agree)","9- I am satisfied with the career support and resources provided by my university. (1 = Strongly disagree → 5 = Strongly agree)","10- I feel confident in my technical and professional skills (e.g., programming, communication, teamwork).","11- How often do you participate in skill-building activities (courses, workshops, certificates, competitions)?","12- How active are you in building your professional network (career events, LinkedIn, mentorship, etc.)?","13- After completing your degree, what is your primary plan?","14- How confident are you that this gap year will benefit your future career or education?","15- What do you plan to do during your gap year?","14- How do you plan to finance your business?","15- In which sector are you planning to build your business? (Select all options that apply.)","14- How confident are you in finding a job within 6 months after graduation?","15- Do you plan to work in a field directly related to your major?","14- What is your main reason for wanting to pursue a Master’s or PhD degree?","15- What is the most important criteria for you when choosing a graduate program?","14- How certain are you about this plan? (1 = Not certain / 5 = Very certain)","15-When do you expect to start implementing this plan?","16- Where would you ideally like to work five years from now?","17- What is your expected net monthly salary for your first full-time job (in TL)? Please specify an approximate range.","18- Which working style do you prefer for your future job?","19- Financial security is the single most important aspect when choosing my first job (1 = Strongly disagree → 5 = Strongly agree)","20- I expect to stay at my first job for less than three years.","21- I believe my diploma alone will be enough for me to find a good job. (1 = Strongly disagree → 5 = Strongly agree)","22- I think I might need a second job to maintain a decent standard of living. (1 = Strongly disagree → 5 = Strongly agree)","23- Having flexibility (remote work, flexible hours) is a priority for me in a job. (1 = Strongly disagree → 5 = Strongly agree)","24- I am open to considering work opportunities abroad. (1 = Strongly disagree → 5 = Strongly agree)","25- I think work–life balance is more important than career prestige. (1 = Strongly disagree → 5 = Strongly agree)","26- I would accept a lower salary for a job that aligns with my values. (1 = Strongly disagree → 5 = Strongly agree)","27- I believe I need to work more than 40 hours a week to earn a high salary. (1 = Strongly disagree → 5 = Strongly agree)","28- I believe my long-term career success depends more on luck than on hard work. (1 = Strongly disagree → 5 = Strongly agree)","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [Work–life balance]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ High salary & benefits]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Meaningful work (positive social impact)]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Career stability]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Autonomy & independence]"
1762250277.428,"Türkçe -Turkish","Electrical and Electronics Engineering","No","Preparatory","18–20","Male","3.01–3.5","No",2,3,4,"Often","Active","Start my own business",NA,NA,"Yatırımcılar veya girişim sermayesiyle","Technology / Software",NA,NA,NA,NA,NA,NA,"Own business","Prefer not to say","Hybrid",4,3,2,2,4,5,4,3,2,2,"3.0","4.0","2.0","5 (Least important)","1 (Most important)"
1762251365.156,"Türkçe -Turkish","Civil Engineering","No","3rd year","21–23","Female","2.01–2.5","No",3,2,4,"Rarely","Somewhat active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"Abroad","70.000–99.999","In-office",2,1,4,1,3,5,4,4,4,4,"2.0","3.0","4.0","1 (Most important)","5 (Least important)"
1762253164.316,"Türkçe -Turkish","Environmental Engineering","No","2nd year","18–20","Female","2.01–2.5","No",3,2,4,"Sometimes","Somewhat active","Start a full-time job",NA,NA,NA,NA,3,"Probably yes",NA,NA,NA,NA,"Abroad","70.000–99.999","Hybrid",3,3,2,1,3,5,4,4,2,2,"3.0","5 (Least important)","2.0","4.0","1 (Most important)"
1762254036.483,"Türkçe -Turkish","Mechanical Engineering","No","3rd year","21–23","Male","2.01–2.5","No",4,4,3,"Never","Rarely active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"In Turkey – local company","70.000–99.999","In-office",4,2,4,2,5,5,4,3,3,4,"3.0","4.0","5 (Least important)","2.0","1 (Most important)"
1762254076.316,"Türkçe -Turkish","Chemistry","No","3rd year","21–23","Female","3.01–3.5","No",4,4,3,"Rarely","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","50.000–69.999","In-office",3,3,2,2,2,5,4,4,3,2,"5 (Least important)","3.0","4.0","2.0","1 (Most important)"
1762257417.711,"Türkçe -Turkish","International Relations","No","4th year","21–23","Male","2.51–3.0","No",3,4,3,"Sometimes","Somewhat active","Start a full-time job",NA,NA,NA,NA,3,"Probably no",NA,NA,NA,NA,"In Turkey – international company","30.000–49.999","Hybrid",3,3,3,4,5,4,4,3,4,2,"1 (Most important)","3.0","4.0","5 (Least important)","2.0"
1762257854.582,"Türkçe -Turkish","English Language Teaching","No","3rd year","21–23","Male","2.01–2.5","No",1,1,5,"Rarely","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"Abroad","100.000+","Fully remote",5,1,3,5,5,5,5,5,1,4,"3.0","5 (Least important)","1 (Most important)","4.0","2.0"
1762258558.34,"Türkçe -Turkish","Aerospace Engineering","No","3rd year","21–23","Male","2.01–2.5","No",3,2,4,"Rarely","Rarely active","Start a full-time job",NA,NA,NA,NA,4,"Probably yes",NA,NA,NA,NA,"In Turkey – local company","70.000–99.999","Hybrid",4,2,1,1,4,3,4,2,2,3,"1 (Most important)","2.0","5 (Least important)","4.0","3.0"
1762258617.5,"Türkçe -Turkish","Mathematics","No","3rd year","21–23","Female","2.51–3.0","No",2,2,2,"Never","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Abroad","30.000–49.999","Hybrid",3,2,2,4,3,5,4,4,4,4,"5 (Least important)","4.0","2.0","3.0","1 (Most important)"
1762258662.126,"Türkçe -Turkish","Aerospace Engineering","No","3rd year","21–23","Male","3.01–3.5","No",1,2,4,"Never","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","70.000–99.999","Hybrid",3,3,2,4,3,5,3,5,1,2,"4.0","3.0","2.0","1 (Most important)","5 (Least important)"
1762258710.783,"Türkçe -Turkish","Mathematics","Yes, double major","2nd year","18–20","Male","3.51–4.0","No",3,4,5,"Sometimes","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"Abroad","30.000–49.999","Hybrid",3,3,2,2,5,5,5,5,4,3,"1 (Most important)","3.0","5 (Least important)","4.0","2.0"
1762258759.856,"Türkçe -Turkish","Mathematics","No","2nd year","21–23","Male","2.01–2.5","No",1,2,3,"Rarely","Somewhat active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"Abroad","70.000–99.999","In-office",5,2,3,1,3,5,4,3,4,2,"1 (Most important)","3.0","4.0","2.0","5 (Least important)"
1762258869.461,"Türkçe -Turkish","Statistics","No","1st year","18–20","Female","3.51–4.0","No",4,4,5,"Sometimes","Active","Start a full-time job",NA,NA,NA,NA,5,"Probably yes",NA,NA,NA,NA,"In Turkey – international company","Prefer not to say","Fully remote",5,3,1,2,5,5,4,4,1,3,"3.0","4.0","2.0","5 (Least important)","1 (Most important)"
1762259249.466,"Türkçe -Turkish","Foreign Language Education","No","Mezun, ilgili alanda yüksek lisans","21–23","Male","3.01–3.5","No",2,3,1,"Rarely","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"Own business","30.000–49.999","In-office",4,3,1,3,4,2,5,5,3,5,"2.0","5 (Least important)","4.0","1 (Most important)","3.0"
1762260037.155,"Türkçe -Turkish","English Language Teaching","No","3rd year","21–23","Female","3.51–4.0","Yes, part-time",4,3,5,"Rarely","Not active at all","Start my own business",NA,NA,"Personal savings","Education / Training",NA,NA,NA,NA,NA,NA,"Own business","70.000–99.999","Hybrid",4,1,3,1,4,4,4,3,2,2,"3.0","4.0","1 (Most important)","2.0","5 (Least important)"
1762260439.872,"Türkçe -Turkish","Statistics","No","4th year","21–23","Male","2.01–2.5","Yes, part-time",1,1,3,"Never","Rarely active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"I don't know","50.000–69.999","Hybrid",3,4,1,2,4,4,3,3,4,2,"5 (Least important)","4.0","2.0","1 (Most important)","3.0"
1762260794.574,"Türkçe -Turkish","Aerospace Engineering","No","3rd year","21–23","Male","3.51–4.0","No",2,2,4,"Sometimes","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"In Turkey – international company","50.000–69.999","In-office",2,5,1,2,4,5,3,5,5,3,"4.0","3.0","2.0","5 (Least important)","1 (Most important)"
1762261052.912,"Türkçe -Turkish","Political Science and Public Administration","No","3rd year","21–23","Male","3.01–3.5","No",5,2,5,"Rarely","Not active at all","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"In Turkey – international company","30.000–49.999","Hybrid",4,5,2,2,1,5,4,4,5,3,"3.0","4.0","2.0","1 (Most important)","5 (Least important)"
1762261252.148,"Türkçe -Turkish","Statistics","No","3rd year","21–23","Male","2.01–2.5","No",3,4,5,"Sometimes","Rarely active","Start a full-time job",NA,NA,NA,NA,4,"Probably yes",NA,NA,NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",4,2,4,3,5,5,3,2,3,3,"2.0","3.0","5 (Least important)","4.0","1 (Most important)"
1762263388.141,"Türkçe -Turkish","Mechanical Engineering","No","1st year","18–20","Male","0–2.0","No",2,4,1,"Rarely","Not active at all","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Abroad","70.000–99.999","Hybrid",4,4,2,1,3,5,5,4,4,4,"5 (Least important)","4.0","1 (Most important)","3.0","2.0"
1762267294.058,"Türkçe -Turkish","Electrical and Electronics Engineering","No","2nd year","18–20","Male","2.01–2.5","No",1,4,1,"Never","Not active at all","Start a full-time job",NA,NA,NA,NA,4,"Not sure",NA,NA,NA,NA,"In Turkey – international company","30.000–49.999","Hybrid",2,2,2,4,2,5,3,3,3,2,"3.0","5 (Least important)","4.0","2.0","1 (Most important)"
1762267628.88,"Türkçe -Turkish","Economics","No","3rd year","21–23","Female","3.51–4.0","No",3,4,5,"Sometimes","Somewhat active","Start a full-time job",NA,NA,NA,NA,4,"Probably yes",NA,NA,NA,NA,"In Turkey – international company","50.000–69.999","In-office",5,3,2,1,1,5,2,1,4,4,"4.0","1 (Most important)","2.0","3.0","5 (Least important)"
1762267691.231,"Türkçe -Turkish","Chemical Engineering","Yes, double major","3rd year","21–23","Female","3.01–3.5","No",4,3,5,"Rarely","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"I don't know","70.000–99.999","Hybrid",3,4,3,1,5,4,4,2,2,3,"1 (Most important)","2.0","5 (Least important)","4.0","3.0"
1762268863.882,"Türkçe -Turkish","Mechanical Engineering","No","3rd year","21–23","Female","2.01–2.5","No",1,1,3,"Rarely","Not active at all","Start a full-time job",NA,NA,NA,NA,2,"Yes",NA,NA,NA,NA,"Abroad","50.000–69.999","Hybrid",3,5,1,2,5,5,5,4,2,2,"1 (Most important)","2.0","4.0","3.0","5 (Least important)"
1762269087.434,"Türkçe -Turkish","Statistics","No","4th year","24 and over","Female","2.51–3.0","No",3,4,4,"Sometimes","Somewhat active","Start a full-time job",NA,NA,NA,NA,4,"Yes",NA,NA,NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",3,3,3,1,5,5,4,4,5,3,"4.0","5 (Least important)","1 (Most important)","3.0","2.0"
1762269251.243,"Türkçe -Turkish","Mechanical Engineering","No","3rd year","21–23","Male","0–2.0","No",4,3,4,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"Abroad","50.000–69.999","Hybrid",2,5,1,1,4,5,4,5,3,1,"2.0","3.0","1 (Most important)","5 (Least important)","4.0"
1762269987.189,"Türkçe -Turkish","Statistics","No","3rd year","24 and over","Male","2.01–2.5","Yes, part-time",3,3,4,"Rarely","Somewhat active","Start my own business",NA,NA,"Yatırımcılar veya girişim sermayesiyle","Technology / Software",NA,NA,NA,NA,NA,NA,"Own business","50.000–69.999","Fully remote",1,3,1,2,5,5,4,5,2,1,"2.0","3.0","5 (Least important)","4.0","1 (Most important)"
1762271083.156,"Türkçe -Turkish","International Relations","Yes, minor","4th year","21–23","Female","3.01–3.5","No",3,1,3,"Rarely","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","Scholarship / financial support",NA,NA,"In Turkey – local company","30.000–49.999","Hybrid",5,2,1,1,4,2,5,3,1,3,"3.0","1 (Most important)","2.0","4.0","5 (Least important)"
1762271400.089,"Türkçe -Turkish","Chemical Engineering","No","2nd year","21–23","Male","2.01–2.5","No",4,2,5,"Often","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","Location (country / city)",NA,NA,"In Turkey – international company","70.000–99.999","In-office",5,5,1,2,1,5,5,3,5,5,"3.0","1 (Most important)","5 (Least important)","2.0","4.0"
1762271687.128,"Türkçe -Turkish","Food Engineering","No","4th year","21–23","Female","2.01–2.5","No",4,5,5,"Very often","Very active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","50.000–69.999","Hybrid",2,2,1,3,4,5,2,4,4,4,"1 (Most important)","2.0","4.0","3.0","5 (Least important)"
1762271699.157,"Türkçe -Turkish","Petroleum and Natural Gas Engineering","No","2nd year","21–23","Male","2.51–3.0","No",3,2,5,"Never","Not active at all","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"Abroad","100.000+","Hybrid",4,2,4,1,3,5,4,3,3,2,"5 (Least important)","2.0","1 (Most important)","3.0","4.0"
1762271881.574,"Türkçe -Turkish","Civil Engineering","No","1st year","18–20","Female","3.01–3.5","No",4,2,4,"Sometimes","Somewhat active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"In Turkey – international company","30.000–49.999","In-office",4,2,3,2,5,5,3,3,4,2,"4.0","5 (Least important)","1 (Most important)","3.0","2.0"
1762272131.089,"Türkçe -Turkish","Statistics","No","2nd year","21–23","Female","2.51–3.0","Yes, as an intern",1,1,5,"Never","Rarely active","Evlenmek",NA,NA,NA,NA,NA,NA,NA,NA,5,"Immediately after graduation","I don't know","100.000+","Fully remote",3,1,1,3,5,1,5,5,2,3,"1 (Most important)","4.0","5 (Least important)","3.0","2.0"
1762272427.855,"Türkçe -Turkish","Economics","No","4th year","24 and over","Female","3.01–3.5","No",3,3,1,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"In Turkey – local company","100.000+","Hybrid",4,1,1,3,3,3,1,1,3,3,"1 (Most important)","3.0","4.0","5 (Least important)","2.0"
1762272438.012,"Türkçe -Turkish","Economics","No","4th year","24 and over","Female","3.01–3.5","No",3,3,1,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"In Turkey – local company","100.000+","Hybrid",4,1,1,3,3,3,1,1,3,3,"1 (Most important)","3.0","4.0","5 (Least important)","2.0"
1762273958.206,"Türkçe -Turkish","Computer Engineering","No","2nd year","18–20","Male","3.01–3.5","Yes, as an intern",3,5,4,"Rarely","Very active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"Abroad","100.000+","Hybrid",3,3,2,1,2,5,4,3,2,1,"1 (Most important)","2.0","3.0","4.0","5 (Least important)"
1762274766.521,"Türkçe -Turkish","Electrical and Electronics Engineering","No","2nd year","21–23","Male","3.01–3.5","No",1,2,3,"Rarely","Somewhat active","Start a full-time job",NA,NA,NA,NA,2,"Yes",NA,NA,NA,NA,"Abroad","50.000–69.999","Hybrid",1,4,2,3,5,5,5,5,4,4,"1 (Most important)","5 (Least important)","4.0","3.0","2.0"
1762275544.763,"Türkçe -Turkish","Petroleum and Natural Gas Engineering","No","1st year","21–23","Male","0–2.0","No",3,2,4,"Rarely","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"Abroad","100.000+","Hybrid",4,3,3,1,2,5,4,3,2,2,"3.0","2.0","5 (Least important)","4.0","1 (Most important)"
1762275865.74,"Türkçe -Turkish","Electrical and Electronics Engineering","No","3rd year","21–23","Female","2.01–2.5","No",3,2,5,"Often","Active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"In Turkey – local company","70.000–99.999","In-office",3,5,3,1,3,5,5,4,4,2,"1 (Most important)","3.0","2.0","4.0","5 (Least important)"
1762278187.599,"Türkçe -Turkish","Environmental Engineering","No","1st year","21–23","Male","2.01–2.5","No",2,3,5,"Sometimes","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"I don't know","30.000–49.999","Hybrid",3,5,2,3,1,5,4,5,4,3,"1 (Most important)","2.0","4.0","5 (Least important)","3.0"
1762278873.799,"Türkçe -Turkish","Mechanical Engineering","No","1st year","18–20","Male","3.01–3.5","No",4,4,5,"Rarely","Not active at all","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"In Turkey – international company","70.000–99.999","In-office",5,4,4,2,2,5,5,3,5,3,"1 (Most important)","2.0","5 (Least important)","3.0","4.0"
1762280864.071,"Türkçe -Turkish","Chemical Engineering","No","2nd year","18–20","Female","2.01–2.5","No",2,1,3,"Never","Not active at all","Start a full-time job",NA,NA,NA,NA,5,"Probably yes",NA,NA,NA,NA,"In Turkey – international company","30.000–49.999","Hybrid",5,1,1,2,3,1,4,1,3,3,"3.0","1 (Most important)","5 (Least important)","2.0","4.0"
1762284273.582,"Türkçe -Turkish","Economics","No","2nd year","21–23","Female","0–2.0","Yes, part-time",1,2,4,"Sometimes","Rarely active","Start my own business",NA,NA,"Family or friends support","Creative Industries (Media, Design, Marketing)",NA,NA,NA,NA,NA,NA,"Own business","50.000–69.999","Hybrid",5,3,2,5,5,5,5,5,5,2,"1 (Most important)","2.0","5 (Least important)","4.0","3.0"
1762284288.962,"Türkçe -Turkish","Electrical and Electronics Engineering","No","1st year","18–20","Male","0–2.0","No",3,4,2,"Sometimes","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"Abroad","Prefer not to say","In-office",2,4,1,2,1,5,3,5,3,1,"1 (Most important)","4.0","3.0","2.0","5 (Least important)"
1762284751.51,"Türkçe -Turkish","Metallurgical and Materials Engineering","No","3rd year","21–23","Male","2.51–3.0","No",1,1,5,"Sometimes","Very active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"I don't know","50.000–69.999","Hybrid",4,5,3,2,3,5,5,4,1,2,"1 (Most important)","2.0","4.0","5 (Least important)","3.0"
1762285198.662,"Türkçe -Turkish","Electrical and Electronics Engineering","No","3rd year","21–23","Male","2.51–3.0","No",3,1,5,"Rarely","Rarely active","Start a full-time job",NA,NA,NA,NA,5,"Probably yes",NA,NA,NA,NA,"I don't know","100.000+","In-office",4,4,3,2,3,5,3,4,3,2,"3.0","1 (Most important)","5 (Least important)","4.0","2.0"
1762286040.913,"Türkçe -Turkish","Statistics","No","3rd year","18–20","Female","2.51–3.0","No",3,3,4,"Sometimes","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","Job opportunities",NA,NA,"Abroad","70.000–99.999","In-office",4,2,3,2,4,5,3,2,3,2,"1 (Most important)","4.0","2.0","3.0","5 (Least important)"
1762290651.275,"Türkçe -Turkish","History","Yes, minor","2nd year","18–20","Male","3.51–4.0","No",2,1,5,"Rarely","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","Ankara + İngilizce eğitim",NA,NA,"I don't know","<30.000","In-office",3,3,1,2,1,4,5,5,3,5,"1 (Most important)","5 (Least important)","3.0","4.0","2.0"
1762293945.098,"Türkçe -Turkish","Metallurgical and Materials Engineering","No","3rd year","21–23","Female","2.51–3.0","No",2,2,3,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","50.000–69.999","Hybrid",4,4,1,2,3,5,2,2,4,3,"3.0","1 (Most important)","5 (Least important)","4.0","2.0"
1762299491.165,"Türkçe -Turkish","Statistics","No","1st year","18–20","Female","3.51–4.0","No",3,3,4,"Rarely","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"In Turkey – international company","70.000–99.999","Hybrid",4,2,1,2,5,5,5,3,2,3,"2.0","5 (Least important)","4.0","1 (Most important)","3.0"
1762300391.47,"Türkçe -Turkish","Statistics","No","3rd year","21–23","Female","2.51–3.0","Yes, part-time",3,3,4,"Sometimes","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","Job opportunities",NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",3,4,2,1,2,4,3,2,3,2,"2.0","1 (Most important)","5 (Least important)","4.0","3.0"
1762314292.699,"Türkçe -Turkish","Mechanical Engineering","No","2nd year","21–23","Male","2.01–2.5","No",4,4,4,"Sometimes","Not active at all","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","70.000–99.999","In-office",4,4,2,1,2,5,2,2,2,3,"4.0","1 (Most important)","5 (Least important)","2.0","3.0"
1762344603.758,"Türkçe -Turkish","Economics","No","1st year","18–20","Male","3.01–3.5","No",4,5,5,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","University reputation",NA,NA,"Abroad","30.000–49.999","Hybrid",5,3,1,1,4,5,5,3,3,2,"5 (Least important)","3.0","1 (Most important)","2.0","4.0"
1762348180.251,"Türkçe -Turkish","Metallurgical and Materials Engineering","Yes, minor","4th year","24 and over","Male","3.51–4.0","Yes, as an intern",1,4,3,"Sometimes","Very active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","Location (country / city)",NA,NA,"Abroad","50.000–69.999","Fully remote",5,5,1,5,5,5,2,5,3,5,"3.0","1 (Most important)","2.0","4.0","5 (Least important)"
1762348734.901,"Türkçe -Turkish","Civil Engineering","No","1st year","18–20","Male","2.01–2.5","No",4,4,5,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Abroad","70.000–99.999","In-office",4,3,5,1,2,5,4,2,3,3,"2.0","1 (Most important)","4.0","3.0","5 (Least important)"
1762349063.655,"Türkçe -Turkish","International Relations","No","4th year","21–23","Male","3.51–4.0","Yes, part-time",1,1,1,"Sometimes","Very active","Start a full-time job",NA,NA,NA,NA,3,"Probably no",NA,NA,NA,NA,"I don't know","30.000–49.999","Hybrid",2,4,1,4,5,5,3,3,5,5,"1 (Most important)","2.0","5 (Least important)","4.0","3.0"
1762350368.547,"Türkçe -Turkish","Chemical Engineering","No","3rd year","21–23","Male","0–2.0","No",3,3,4,"Rarely","Somewhat active","Start a full-time job",NA,NA,NA,NA,5,"Yes",NA,NA,NA,NA,"In Turkey – international company","70.000–99.999","In-office",4,2,5,1,2,3,3,3,2,3,"5 (Least important)","3.0","2.0","4.0","1 (Most important)"
1762350692.273,"Türkçe -Turkish","International Relations","No","2nd year","18–20","Female","3.51–4.0","No",3,3,4,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain experience abroad","Job opportunities",NA,NA,"In Turkey – international company","30.000–49.999","Hybrid",4,5,1,4,3,4,3,4,5,5,"3.0","1 (Most important)","2.0","4.0","5 (Least important)"
1762351829.484,"Türkçe -Turkish","Electrical and Electronics Engineering","No","1st year","18–20","Male","3.51–4.0","No",4,5,5,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"Abroad","100.000+","Hybrid",4,3,4,1,4,5,3,2,1,1,"1 (Most important)","2.0","5 (Least important)","4.0","3.0"
1762352678.416,"Türkçe -Turkish","Statistics","No","1st year","18–20","Male","3.51–4.0","No",3,3,4,"Sometimes","Rarely active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",4,4,2,1,2,4,5,4,3,4,"3.0","4.0","5 (Least important)","1 (Most important)","2.0"
1762354025.925,"Türkçe -Turkish","Mathematics","No","1st year","18–20","Male","3.01–3.5","Yes, part-time",3,2,4,"Rarely","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","University reputation",NA,NA,"Abroad","50.000–69.999","In-office",2,3,1,2,3,4,4,5,3,2,"2.0","5 (Least important)","3.0","4.0","1 (Most important)"
1762354788.76,"Türkçe -Turkish","Architecture","No","4th year","24 and over","Male","2.01–2.5","Yes, as an intern",4,4,4,"Rarely","Rarely active","Take a gap year",4,"Internship / work experience",NA,NA,NA,NA,NA,NA,NA,NA,"In Turkey – international company","50.000–69.999","Hybrid",4,3,2,3,3,4,5,4,3,3,"1 (Most important)","2.0","5 (Least important)","4.0","3.0"
1762355308.849,"Türkçe -Turkish","Mining Engineering","No","2nd year","21–23","Male","0–2.0","Yes, part-time",3,1,2,"Rarely","Somewhat active","Start a full-time job",NA,NA,NA,NA,4,"Yes",NA,NA,NA,NA,"Abroad","50.000–69.999","In-office",4,4,2,1,2,5,5,3,2,4,"5 (Least important)","4.0","1 (Most important)","2.0","3.0"
1762356478.349,"Türkçe -Turkish","Civil Engineering","No","4th year","21–23","Male","3.01–3.5","No",2,4,4,"Sometimes","Active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","Location (country / city)",NA,NA,"Abroad","70.000–99.999","Hybrid",4,2,1,3,4,5,3,2,4,1,"4.0","2.0","5 (Least important)","1 (Most important)","3.0"
1762356817.316,"Türkçe -Turkish","Physics Education","No","Preparatory","18–20","Male","3.01–3.5","No",3,4,4,"Sometimes","Somewhat active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal","Scholarship / financial support",NA,NA,"Abroad","100.000+","In-office",4,3,1,3,5,5,1,2,4,3,"4.0","1 (Most important)","5 (Least important)","2.0","3.0"
1762360408.666,"Türkçe -Turkish","Electrical and Electronics Engineering","No","2nd year","18–20","Male","3.01–3.5","No",4,4,5,"Very often","Very active","Pursue a Master's or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Abroad","100.000+","In-office",5,3,3,3,2,5,5,5,4,2,"1 (Most important)","2.0","4.0","3.0","5 (Least important)"
